date,lang,grouping_eng,e_interest_eng,e_p1_eng,e_p2_eng,e_p3_eng,e_p4_eng,e_p5_eng,e_g1_eng,e_g2_eng,e_g3_eng,e_g4_eng,e_g5_eng,e_g6_eng,c_interest_eng,c_p1_eng,c_p2_eng,c_p3_eng,c_p4_eng,c_p5_eng,c_g1_eng,c_g2_eng,c_g3_eng,c_g4_eng,c_g5_eng,c_g6_eng,c_invest_eng,ec_neighb_eng,ec_loc_eng,ec_gender_eng,ec_age_eng,ec_edu_eng,grouping_nl,e_interest_nl,e_p1_nl,e_p2_nl,e_p3_nl,e_p4_nl,e_p5_nl,e_g1_nl,e_g2_nl,e_g3_nl,e_g4_nl,e_g5_nl,e_g6_nl,c_interest_nl,c_p1_nl,c_p2_nl,c_p3_nl,c_p4_nl,c_p5_nl,c_g1_nl,c_g2_nl,c_g3_nl,c_g4_nl,c_g5_nl,c_g6_nl,c_invest_nl,ec_neighb_nl,ec_loc_nl,ec_gender_nl,ec_age_nl,ec_edu_nl,grouping_fr,e_interest_fr,e_p1_fr,e_p2_fr,e_p3_fr,e_p4_fr,e_p5_fr,e_g1_fr,e_g2_fr,e_g3_fr,e_g4_fr,e_g5_fr,e_g6_fr,c_interest_fr,c_p1_fr,c_p2_fr,c_p3_fr,c_p4_fr,c_p5_fr,c_g1_fr,c_g2_fr,c_g3_fr,c_g4_fr,c_g5_fr,c_g6_fr,c_invest_fr,ec_neighb_fr,ec_loc_fr,ec_gender_fr,ec_age_fr,ec_edu_fr
"2018/05/02 2:47:06 PM GMT+2","Nederlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Een burger die geen deel uitmaakt van een lokaal burgerinitiatief, een sociaal project of een sociale organisatie.","","","","","","","","","","","","","Ik zou eventueel geinteresseerd zijn om een vrijwillige bijdrage te leveren aan een burgerinitiatief","akkoord","geen mening","niet akkoord","akkoord","geen mening","niet akkoord","niet akkoord","niet akkoord","akkoord","geen mening","geen mening","1 - 99€ /jaar","Niet akkoord","Vlaanderen","een vrow","35-44jaar","Master","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 3:00:57 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","Sans opinion","Pas d'accord","Sans opinion","Sans opinion","Pas d'accord","Sans opinion","Sans opinion","D'accord","D'accord","Sans opinion","1 - 99€ /an","Sans opinion","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/02 4:42:37 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à financer une initiative citoyenne","D'accord","Sans opinion","Pas d'accord","D'accord","Pas d'accord","Pas du tout d'accord","Pas du tout d'accord","Pas d'accord","D'accord","Sans opinion","D'accord","1 - 99€ /an","D'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/05/02 4:55:53 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Pas d'accord","D'accord","Pas du tout d'accord","D'accord","Tout à fait d'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Sans opinion","100 - 199€ /an","Pas d'accord","Bruxelles-Capitale","Un homme","55-64 ans.","Master"
"2018/05/02 5:01:04 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je ne suis pas intéressé.e par les initiatives citoyennes","Sans opinion","Pas d'accord","Sans opinion","D'accord","Sans opinion","Pas d'accord","Pas d'accord","Pas d'accord","Sans opinion","Pas d'accord","Sans opinion","0€","Pas d'accord","Bruxelles-Capitale","Un homme","75 ans ou plus.","Master"
"2018/05/02 5:02:31 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Sans opinion","D'accord","Pas d'accord","D'accord","Pas du tout d'accord","Pas du tout d'accord","D'accord","Sans opinion","Tout à fait d'accord","Pas du tout d'accord","Pas d'accord","0€","Pas d'accord","Wallonie","Un homme","25-34 ans.","Master"
"2018/05/02 5:03:19 PM GMT+2","English","Citizen with no active implication in a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to volunteer for a citizen's initiative.","Strongly disagree","Agree","Disagree","Agree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Agree","0€","Agree","Flanders","Female","25-34 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 5:05:02 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Tout à fait d'accord","Pas du tout d'accord","D'accord","D'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","D'accord","100 - 199€ /an","Tout à fait d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/05/02 5:09:21 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","D'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Sans opinion","0€","Sans opinion","Wallonie","Une femme","45-54 ans.","Master"
"2018/05/02 5:13:19 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas du tout d'accord","Pas d'accord","D'accord","Sans opinion","Pas d'accord","0€","D'accord","Bruxelles-Capitale","Un homme","35-44 ans.","Master"
"2018/05/02 5:15:21 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","Pas d'accord","Pas du tout d'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Sans opinion","0€","Pas d'accord","Bruxelles-Capitale","Un homme","18-24 ans.","Master"
"2018/05/02 5:18:04 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","D'accord","Sans opinion","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","D'accord","0€","Pas d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/02 5:18:54 PM GMT+2","English","Citizen with no active implication in a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to fund a citizen's initiative.","Agree","Neither agree nor disagree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Agree","Agree","Agree","100 - 199€ /year","Neither agree nor disagree","Brussels","Male","25-34 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 5:25:22 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","D'accord","D'accord","Tout à fait d'accord","Pas d'accord","Pas du tout d'accord","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","D'accord","0€","Tout à fait d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Doctorat"
"2018/05/02 5:28:52 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Sans opinion","D'accord","Pas d'accord","D'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","1 - 99€ /an","D'accord","Flandre","Une femme","45-54 ans.","Master"
"2018/05/02 5:31:33 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je suis prêt.e à rejoindre une plateforme de crowdfunding citoyen.","D'accord","Pas d'accord","D'accord","Sans opinion","D'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Sans opinion","","","","","","","","","","","","","","D'accord","Flandre","Un homme","55-64 ans.","Master"
"2018/05/02 5:43:39 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Pas du tout d'accord","Pas d'accord","Sans opinion","D'accord","Pas du tout d'accord","Pas d'accord","0€","D'accord","Bruxelles-Capitale","Une femme","55-64 ans.","Master"
"2018/05/02 5:46:11 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Pas d'accord","Tout à fait d'accord","D'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","500€ + /an","Tout à fait d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/05/02 6:15:57 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","D'accord","D'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","D'accord","0€","Sans opinion","Bruxelles-Capitale","Un homme","65-74 ans.","Master"
"2018/05/02 6:16:18 PM GMT+2","English","Active member of a local citizen's initiative, social project or social organization.","I could be interested to join a civic crowdfunding platform.","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","","","","","","","","","","","","","","Agree","Brussels","Male","75 years or older.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 6:19:50 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","Tout à fait d'accord","Sans opinion","Sans opinion","Pas du tout d'accord","Tout à fait d'accord","Pas du tout d'accord","Pas du tout d'accord","Sans opinion","D'accord","Sans opinion","Sans opinion","","","","","","","","","","","","","","Tout à fait d'accord","Bruxelles-Capitale","Un homme","45-54 ans.","Master"
"2018/05/02 6:35:31 PM GMT+2","English","Citizen with casual volonteering for a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I could be interested to fund a citizen's initiative.","Agree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Strongly disagree","Agree","Strongly disagree","Agree","Disagree","Agree","0€","Agree","Brussels","Female","25-34 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 7:21:02 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je ne suis pas intéressé.e par les initiatives citoyennes","D'accord","Pas du tout d'accord","D'accord","D'accord","D'accord","Pas d'accord","D'accord","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","1 - 99€ /an","Pas du tout d'accord","Flandre","Un homme","55-64 ans.","Master"
"2018/05/02 7:23:45 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","Pas d'accord","D'accord","Pas du tout d'accord","Tout à fait d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas du tout d'accord","D'accord","Pas d'accord","","","","","","","","","","","","","","Tout à fait d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Doctorat"
"2018/05/02 8:31:06 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Tout à fait d'accord","Pas d'accord","D'accord","D'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","1 - 99€ /an","Tout à fait d'accord","Bruxelles-Capitale","Une femme","45-54 ans.","Bachelier"
"2018/05/02 9:01:40 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Tout à fait d'accord","Pas d'accord","D'accord","D'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","1 - 99€ /an","Tout à fait d'accord","Bruxelles-Capitale","Une femme","45-54 ans.","Bachelier"
"2018/05/02 9:09:10 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","D'accord","D'accord","Pas d'accord","D'accord","Sans opinion","Pas du tout d'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","1 - 99€ /an","D'accord","Bruxelles-Capitale","Un homme","55-64 ans.","Master"
"2018/05/02 9:33:24 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","D'accord","D'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","D'accord","","","","","","","","","","","","","","Pas d'accord","Bruxelles-Capitale","Une femme","45-54 ans.","Master"
"2018/05/02 9:53:48 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","Pas d'accord","D'accord","D'accord","D'accord","D'accord","Pas du tout d'accord","D'accord","Sans opinion","Tout à fait d'accord","D'accord","Sans opinion","","","","","","","","","","","","","","Tout à fait d'accord","Bruxelles-Capitale","Un homme","55-64 ans.","Master"
"2018/05/02 10:18:44 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Tout à fait d'accord","Pas d'accord","D'accord","D'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","1 - 99€ /an","Tout à fait d'accord","Bruxelles-Capitale","Une femme","45-54 ans.","Bachelier"
"2018/05/02 10:27:10 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à financer une initiative citoyenne","Tout à fait d'accord","Tout à fait d'accord","Pas du tout d'accord","Tout à fait d'accord","Pas du tout d'accord","Pas du tout d'accord","Tout à fait d'accord","Pas du tout d'accord","Sans opinion","Sans opinion","Sans opinion","1 - 99€ /an","D'accord","Wallonie","Un homme","55-64 ans.","Master"
"2018/05/02 10:38:41 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à financer une initiative citoyenne","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Pas d'accord","Pas d'accord","1 - 99€ /an","D'accord","Bruxelles-Capitale","Une femme","35-44 ans.","Master"
"2018/05/02 10:54:42 PM GMT+2","English","Citizen with casual volonteering for a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I am ready to fund a citizen's initiative.","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Agree","Agree","Neither agree nor disagree","500€ + /year","Strongly agree","Brussels","Male","25-34 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/02 11:16:37 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Tout à fait d'accord","D'accord","Pas du tout d'accord","Tout à fait d'accord","Pas d'accord","Sans opinion","Sans opinion","Pas d'accord","D'accord","Sans opinion","Sans opinion","0€","Tout à fait d'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Master"
"2018/05/02 11:28:11 PM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Pas d'accord","Tout à fait d'accord","Pas d'accord","D'accord","Tout à fait d'accord","Pas du tout d'accord","D'accord","Pas d'accord","D'accord","D'accord","Sans opinion","1 - 99€ /an","Tout à fait d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/02 11:48:39 PM GMT+2","English","Citizen with casual volonteering for a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I am ready to fund a citizen's initiative.","Disagree","Agree","Disagree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","1 - 99€ /year","Agree","Brussels","Female","25-34 years old.","Master’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/03 7:18:09 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne contribuant de manière occasionnelle en tant que volontaire à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","D'accord","Pas du tout d'accord","Pas d'accord","Pas du tout d'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Pas du tout d'accord","1 - 99€ /an","Pas d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/03 8:29:26 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Membre actif d'une initiative citoyenne locale, d'un projet social ou d'une organisation sociale.","Je pourrais être intéressé.e par l'adhésion à une plateforme de crowdfunding citoyen.","D'accord","Sans opinion","Sans opinion","Pas du tout d'accord","D'accord","Sans opinion","Pas d'accord","Pas d'accord","D'accord","D'accord","D'accord","","","","","","","","","","","","","","D'accord","Bruxelles-Capitale","Un homme","25-34 ans.","Bachelier"
"2018/05/03 8:50:15 AM GMT+2","English","Citizen with no active implication in a local citizen's initiative, social project or social organization.","","","","","","","","","","","","","I am ready to volunteer for a citizen's initiative.","Agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","0€","Agree","Brussels","Male","45-54 years old.","Bachelor’s degree.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/05/03 9:08:45 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","Pas d'accord","D'accord","Pas du tout d'accord","D'accord","D'accord","Pas du tout d'accord","D'accord","Pas d'accord","Tout à fait d'accord","Sans opinion","Sans opinion","0€","D'accord","Flandre","Un homme","45-54 ans.","Master"
"2018/05/03 9:21:19 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","Pas d'accord","Pas du tout d'accord","Sans opinion","Sans opinion","D'accord","Pas du tout d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Sans opinion","0€","Pas d'accord","Bruxelles-Capitale","Une femme","25-34 ans.","Master"
"2018/05/03 9:37:45 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par le financement d'une initiative citoyenne","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","Sans opinion","Pas du tout d'accord","Pas d'accord","Pas d'accord","D'accord","Sans opinion","Pas d'accord","0€","Pas d'accord","Wallonie","Une femme","55-64 ans.","Master"
"2018/05/03 10:00:35 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je suis prêt.e à contribuer en tant que volontaire dans une initiative citoyenne","Sans opinion","Pas d'accord","Sans opinion","D'accord","D'accord","Tout à fait d'accord","D'accord","Pas d'accord","D'accord","D'accord","D'accord","0€","Pas d'accord","Flandre","Un homme","55-64 ans.","Bachelier"
"2018/05/03 10:01:00 AM GMT+2","Français","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Citoyen.ne sans appartenance à une initiative citoyenne locale, un projet social ou une organisation sociale.","","","","","","","","","","","","","Je pourrais être éventuellement intéressé.e par une contribution en tant que volontaire dans une initiative citoyenne","D'accord","Tout à fait d'accord","Pas d'accord","D'accord","D'accord","Pas d'accord","Pas d'accord","Pas d'accord","D'accord","D'accord","Sans opinion","0€","Tout à fait d'accord","Bruxelles-Capitale","Une femme","45-54 ans.","Master"
